Time,Duration,SrcDevice,DstDevice,Protocol,SrcPort,DstPort,SrcPackets,DstPackets,SrcBytes,DstBytes
119025,16358,Comp955877,Comp118694,6,Port21232,80,26069,29009,1199174,4989548
119025,16358,Comp955877,Comp064359,6,Port99438,80,25973,28659,1194758,4929348
119025,28103,Comp955877,Comp873278,17,Port71857,Port82513,5461,25155,458724,1408680
119025,28103,Comp955877,Comp846994,17,Port24222,Port82513,5439,25032,456876,1401792
119025,28105,Comp955877,Comp679402,17,Port63536,Port82513,5465,25105,459060,1405880
119025,29377,Comp955877,Comp922210,17,Port26315,Port82513,5289,26945,444276,1508920
119025,29377,Comp955877,Comp922210,6,Port81215,80,52030,54482,2393380,9370904
119025,29377,Comp955877,Comp873278,6,Port65381,80,52157,54598,2399222,9390856
119025,29377,Comp955877,Comp443086,17,Port74289,Port82513,5333,26859,447972,1504104
119025,29377,Comp955877,Comp443086,6,Port27410,80,51633,54329,2375118,9344588
119025,29377,Comp955877,Comp846994,6,Port12647,80,50566,53199,2326036,9152076
119025,29377,Comp955877,Comp679402,6,Port04748,80,51679,54382,2377234,9353704
119025,29377,Comp955877,Comp118694,17,Port85600,Port82513,5312,26937,446208,1508472
119025,29377,Comp955877,Comp118694,6,Port21232,80,51713,54394,2378798,9355768
119025,29377,Comp955877,Comp064359,6,Port99438,80,51358,53743,2362468,9243796
119025,48247,Comp955877,Comp922210,17,Port26315,Port82513,9458,44833,794472,2510648
119025,48247,Comp955877,Comp118694,17,Port85600,Port82513,9446,44813,793464,2509528
119025,48249,Comp955877,Comp443086,17,Port74289,Port82513,9482,44760,796488,2506560
119025,48251,Comp955877,Comp922210,6,Port81215,80,92513,90816,4255598,15620352
119025,48251,Comp955877,Comp873278,6,Port65381,80,92722,91005,4265212,15652860
119025,48251,Comp955877,Comp443086,6,Port27410,80,92273,90564,4244558,15577008
119025,48251,Comp955877,Comp846994,6,Port12647,80,90056,88384,4142576,15203896
119025,48251,Comp955877,Comp679402,6,Port04748,80,92347,90638,4247962,15589736
119025,48251,Comp955877,Comp118694,6,Port21232,80,92395,90665,4250170,15594380
119025,48251,Comp955877,Comp064359,6,Port99438,80,90985,89301,4185310,15359772
119025,49837,Comp955877,Comp873278,17,Port71857,Port82513,9299,46651,781116,2612456
119025,49837,Comp955877,Comp846994,17,Port24222,Port82513,9282,46523,779688,2605288
119025,49837,Comp955877,Comp679402,17,Port63536,Port82513,9296,46571,780864,2607976
119025,64643,Comp955877,Comp873278,17,Port71857,Port82513,12754,60974,1071336,3414544
119025,64645,Comp955877,Comp846994,17,Port24222,Port82513,12742,60854,1070328,3407824
119025,64645,Comp955877,Comp679402,17,Port63536,Port82513,12768,60915,1072512,3411240
119025,66012,Comp955877,Comp922210,17,Port26315,Port82513,12846,60918,1079064,3411408
119025,66012,Comp955877,Comp922210,6,Port81215,80,125604,123521,5777784,21245612
119025,66012,Comp955877,Comp873278,6,Port65381,80,125878,123774,5790388,21289128
119025,66012,Comp955877,Comp443086,17,Port74289,Port82513,12858,60886,1080072,3409616
119025,66012,Comp955877,Comp443086,6,Port27410,80,125253,123161,5761638,21183692
119025,66012,Comp955877,Comp846994,6,Port12647,80,122372,120323,5629112,20697404
119025,66012,Comp955877,Comp679402,6,Port04748,80,125351,123259,5766146,21200812
119025,66012,Comp955877,Comp118694,17,Port85600,Port82513,12822,61009,1077048,3416504
119025,66012,Comp955877,Comp118694,6,Port21232,80,125431,123315,5769826,21210180
119025,66012,Comp955877,Comp064359,6,Port99438,80,123341,121283,5673686,20861336
119025,80628,Comp955877,Comp873278,17,Port71857,Port82513,15789,77127,1326276,4319112
119025,80628,Comp955877,Comp846994,17,Port24222,Port82513,15772,76958,1324848,4309648
119025,80628,Comp955877,Comp679402,17,Port63536,Port82513,15807,77037,1327788,4314072
119025,81143,Comp955877,Comp922210,17,Port26315,Port82513,16041,77074,1347444,4316144
119025,81143,Comp955877,Comp118694,17,Port85600,Port82513,16020,77200,1345680,4323200
119025,81144,Comp955877,Comp443086,17,Port74289,Port82513,16066,77031,1349544,4313736
119025,81146,Comp955877,Comp064359,6,Port99438,80,153766,153186,7073236,26349708
119025,81147,Comp955877,Comp922210,6,Port81215,80,156775,156220,7211650,26869840
119025,81147,Comp955877,Comp873278,6,Port65381,80,157115,156544,7227290,26925568
119025,81147,Comp955877,Comp443086,6,Port27410,80,156318,155748,7190628,26788656
119025,81147,Comp955877,Comp846994,6,Port12647,80,152674,152114,7023004,26165456
119025,81147,Comp955877,Comp118694,6,Port21232,80,156555,155966,7201530,26826152
119025,81148,Comp955877,Comp679402,6,Port04748,80,156449,155879,7196654,26811452
119025,88898,Comp955877,Comp873278,17,Port71857,Port82513,17402,84286,1461768,4720016
119025,88898,Comp955877,Comp846994,17,Port24222,Port82513,17376,84150,1459584,4712400
119025,88898,Comp955877,Comp679402,17,Port63536,Port82513,17424,84226,1463616,4716656
119025,92854,Comp955877,Comp443086,17,Port74289,Port82513,18393,87741,1545012,4913496
119025,92856,Comp955877,Comp922210,17,Port26315,Port82513,18370,87796,1543080,4916576
119025,92856,Comp955877,Comp118694,17,Port85600,Port82513,18349,87958,1541316,4925648
119025,92857,Comp955877,Comp922210,6,Port81215,80,179639,178012,8263394,30618064
119025,92857,Comp955877,Comp873278,6,Port65381,80,180021,178384,8280966,30682048
119025,92857,Comp955877,Comp443086,6,Port27410,80,179121,177481,8239566,30526732
119025,92857,Comp955877,Comp846994,6,Port12647,80,174960,173343,8048160,29816844
119025,92857,Comp955877,Comp679402,6,Port04748,80,179263,177632,8246098,30552968
119025,92857,Comp955877,Comp118694,6,Port21232,80,179379,177729,8251434,30569388
119025,92857,Comp955877,Comp064359,6,Port99438,80,176329,174702,8111134,30050460
119025,105638,Comp955877,Comp922210,17,Port26315,Port82513,20597,100343,1730148,5619208
119025,105638,Comp955877,Comp922210,6,Port81215,80,201454,203436,9266884,34990992
119025,105638,Comp955877,Comp873278,6,Port65381,80,201899,203861,9287354,35064092
119025,105638,Comp955877,Comp443086,17,Port74289,Port82513,20615,100316,1731660,5617696
119025,105638,Comp955877,Comp443086,6,Port27410,80,200889,202835,9240894,34887620
119025,105638,Comp955877,Comp846994,6,Port12647,80,196282,198198,9028972,34091904
119025,105638,Comp955877,Comp679402,6,Port04748,80,201027,203009,9247242,34917812
119025,105638,Comp955877,Comp118694,17,Port85600,Port82513,20563,100492,1727292,5627552
119025,105638,Comp955877,Comp118694,6,Port21232,80,201160,203113,9253360,34935436
119025,105638,Comp955877,Comp064359,6,Port99438,80,197845,199778,9100870,34363532
119025,117380,Comp955877,Comp873278,6,Port65381,80,228004,229341,10488184,39446652
119025,117381,Comp955877,Comp922210,6,Port81215,80,227502,228858,10465092,39363576
119025,117381,Comp955877,Comp443086,6,Port27410,80,226866,228188,10435836,39248336
119025,117381,Comp955877,Comp846994,6,Port12647,80,221593,222900,10193278,38340648
119025,117381,Comp955877,Comp679402,6,Port04748,80,227030,228386,10443380,39282656
119025,117381,Comp955877,Comp118694,6,Port21232,80,227172,228500,10449912,39302000
119025,117381,Comp955877,Comp064359,6,Port99438,80,223530,224846,10282380,38675228
119025,117507,Comp955877,Comp118694,17,Port85600,Port82513,23241,113075,1952244,6332200
119025,117508,Comp955877,Comp922210,17,Port26315,Port82513,23304,112888,1957536,6321728
119025,117711,Comp955877,Comp443086,17,Port74289,Port82513,23336,112847,1960224,6319432
119025,137121,Comp955877,Comp922210,17,Port26315,Port82513,27055,129009,2272620,7224504
119025,137121,Comp955877,Comp922210,6,Port81215,80,264458,261562,12165068,44988664
119025,137121,Comp955877,Comp873278,6,Port65381,80,265031,262107,12191426,45082404
119025,137121,Comp955877,Comp443086,6,Port27410,80,263699,260783,12130154,44854676
119025,137121,Comp955877,Comp846994,6,Port12647,80,257586,254733,11848956,43815924
119025,137121,Comp955877,Comp679402,6,Port04748,80,263893,261006,12139078,44893296
119025,137121,Comp955877,Comp118694,17,Port85600,Port82513,26984,129211,2266656,7235816
119025,137121,Comp955877,Comp118694,6,Port21232,80,264066,261149,12147036,44917628
119025,137121,Comp955877,Comp064359,6,Port99438,80,259550,256709,11939300,44155664
119025,137258,Comp955877,Comp443086,17,Port74289,Port82513,26820,130795,2252880,7324520
119025,152138,Comp955877,Comp922210,17,Port26315,Port82513,29852,145147,2507568,8128232
119025,152138,Comp955877,Comp922210,6,Port81215,80,290864,294264,13379744,50613408
119025,152138,Comp955877,Comp873278,6,Port65381,80,291492,294875,13408632,50718500
119025,152138,Comp955877,Comp443086,17,Port74289,Port82513,29985,145064,2518740,8123584
119025,152138,Comp955877,Comp443086,6,Port27410,80,290019,293376,13340874,50460672
119025,152138,Comp955877,Comp846994,6,Port12647,80,283277,286552,13030742,49288792
119025,152138,Comp955877,Comp679402,6,Port04748,80,290253,293648,13351638,50507720
119025,152138,Comp955877,Comp118694,17,Port85600,Port82513,29672,145342,2492448,8139152
119025,152138,Comp955877,Comp118694,6,Port21232,80,290419,293783,13359274,50530676
119025,152138,Comp955877,Comp064359,6,Port99438,80,286319,288745,13170674,49665856
119025,170240,Comp955877,Comp922210,17,Port26315,Port82513,33696,161307,2830464,9033192
119025,170240,Comp955877,Comp922210,6,Port81215,80,329178,326963,15142188,56237636
119025,170240,Comp955877,Comp443086,6,Port27410,80,328216,325969,15097936,56066668
119025,170240,Comp955877,Comp846994,6,Port12647,80,320451,318279,14740746,54745836
119025,170240,Comp955877,Comp679402,6,Port04748,80,328503,326293,15111138,56122660
119025,170240,Comp955877,Comp118694,6,Port21232,80,328647,326410,15117762,56142520
119025,170240,Comp955877,Comp064359,6,Port99438,80,322952,320737,14855792,55168480
119025,170241,Comp955877,Comp873278,6,Port65381,80,329894,327642,15175124,56354424
119025,170241,Comp955877,Comp443086,17,Port74289,Port82513,33651,161212,2826684,9027872
119025,170241,Comp955877,Comp118694,17,Port85600,Port82513,33601,161486,2822484,9043216
119025,176318,Comp955877,Comp922210,17,Port26315,Port82513,34882,168483,2930088,9435048
119025,176318,Comp955877,Comp922210,6,Port81215,80,340381,341491,15657526,58736452
119025,176318,Comp955877,Comp873278,6,Port65381,80,341121,342201,15691566,58858572
119025,176318,Comp955877,Comp443086,17,Port74289,Port82513,34785,168362,2921940,9428272
119025,176318,Comp955877,Comp443086,6,Port27410,80,339388,340457,15611848,58558604
119025,176318,Comp955877,Comp846994,6,Port12647,80,331369,332440,15242974,57181528
119025,176318,Comp955877,Comp679402,6,Port04748,80,339693,340800,15625878,58617864
119025,176318,Comp955877,Comp118694,17,Port85600,Port82513,34746,168675,2918664,9445800
119025,176318,Comp955877,Comp118694,6,Port21232,80,339826,340909,15631996,58636348
119025,176318,Comp955877,Comp064359,6,Port99438,80,334004,335066,15364184,57633068
119026,5196,Comp894353,Comp442768,6,Port07748,80,3715,3715,170890,724425
119026,16357,Comp955877,Comp064359,17,Port36367,Port82513,2706,14314,227304,801584
119026,28104,Comp955877,Comp064359,17,Port36367,Port82513,5437,25081,456708,1404536
119026,49836,Comp955877,Comp064359,17,Port36367,Port82513,9279,46655,779436,2612680
119026,64641,Comp955877,Comp064359,17,Port36367,Port82513,12732,60976,1069488,3414656
119026,80627,Comp955877,Comp064359,17,Port36367,Port82513,15761,77110,1323924,4318160
119026,88897,Comp955877,Comp064359,17,Port36367,Port82513,17376,84282,1459584,4719792
119027,5195,IP769115,Comp141988,17,5060,5060,649,0,530208,0
